R,Csca,Cext,Cabs
5.000000000000000000e+00,2.974770047289112507e-05,2.823716190795957925e-02,2.820741420748668765e-02
1.000000000000000000e+01,4.819731488327238297e-04,5.823009707669848239e-02,5.774812392786576182e-02
1.500000000000000000e+01,2.491027350098380666e-03,9.240738590284221232e-02,8.991635855274382472e-02
2.000000000000000000e+01,8.101348870514127332e-03,1.340491483780430759e-01,1.259477995075289347e-01
2.500000000000000000e+01,2.050619840310408462e-02,1.875175512775883735e-01,1.670113528744842923e-01
3.000000000000000000e+01,4.439022984831074436e-02,2.585965291858572379e-01,2.142062993375464797e-01
3.500000000000000000e+01,8.635789095476653632e-02,3.549035441991294504e-01,2.685456532443629141e-01
4.000000000000000000e+01,1.553682971993717576e-01,4.862536226201339962e-01,3.308853254207622108e-01
4.500000000000000000e+01,2.629624690298545397e-01,6.646945751603795527e-01,4.017321061305250129e-01
5.000000000000000000e+01,4.228242151850751807e-01,9.036667128513864444e-01,4.808424976663112638e-01
5.500000000000000000e+01,6.488843058839635081e-01,1.215429197084031410e+00,5.665448912000679016e-01
6.000000000000000000e+01,9.510088938403653547e-01,1.605864542066075096e+00,6.548556482257097411e-01
6.500000000000000000e+01,1.328004834504525444e+00,2.066802095963107266e+00,7.387972614585818221e-01
7.000000000000000000e+01,1.760109930693823932e+00,2.568874818158350948e+00,8.087648874645270158e-01
7.500000000000000000e+01,2.206638770675383832e+00,3.061402122003161974e+00,8.547633513277781425e-01
8.000000000000000000e+01,2.614655682980027596e+00,3.484776861297978368e+00,8.701211783179507719e-01
8.500000000000000000e+01,2.937041924865423592e+00,3.791503243007703805e+00,8.544613181422802128e-01
9.000000000000000000e+01,3.148661234423751676e+00,3.962285843924017836e+00,8.136246095002661605e-01
9.500000000000000000e+01,3.250150358932788475e+00,4.006871750573742119e+00,7.567213916409536445e-01
